PG,SG,SF,PF,C,G,F,UTIL,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,PG,Russell Westbrook (11932177),Russell Westbrook,11932177,PG/G/UTIL,11300,OKC@SA 01/10/2019 09:30PM ET,OKC,56.26
,,,,,,,,,C,Nikola Jokic (11932180),Nikola Jokic,11932180,C/UTIL,10500,LAC@DEN 01/10/2019 09:00PM ET,DEN,47.69
,,,,,,,,,SF/PF,Paul George (11932182),Paul George,11932182,SF/PF/F/UTIL,9800,OKC@SA 01/10/2019 09:30PM ET,OKC,49.06
,,,,,,,,,PF/C,Blake Griffin (11932186),Blake Griffin,11932186,PF/C/F/UTIL,9200,DET@SAC 01/10/2019 10:00PM ET,DET,46.18
,,,,,,,,,C,Andre Drummond (11932190),Andre Drummond,11932190,C/UTIL,9100,DET@SAC 01/10/2019 10:00PM ET,DET,44.42
,,,,,,,,,PG,Kyrie Irving (11932192),Kyrie Irving,11932192,PG/G/UTIL,9000,BOS@MIA 01/10/2019 07:00PM ET,BOS,43.49
,,,,,,,,,SG/SF,DeMar DeRozan (11932195),DeMar DeRozan,11932195,SG/SF/F/G/UTIL,8300,OKC@SA 01/10/2019 09:30PM ET,SA,42.24
,,,,,,,,,PG,De'Aaron Fox (11932200),De'Aaron Fox,11932200,PG/G/UTIL,7600,DET@SAC 01/10/2019 10:00PM ET,SAC,37.45
,,,,,,,,,SF/PF,Tobias Harris (11932203),Tobias Harris,11932203,SF/PF/F/UTIL,7400,LAC@DEN 01/10/2019 09:00PM ET,LAC,36.89
,,,,,,,,,PG/SG,Jamal Murray (11932207),Jamal Murray,11932207,PG/SG/G/UTIL,7300,LAC@DEN 01/10/2019 09:00PM ET,DEN,33.83
,,,,,,,,,PF/C,LaMarcus Aldridge (11932211),LaMarcus Aldridge,11932211,PF/C/F/UTIL,7200,OKC@SA 01/10/2019 09:30PM ET,SA,37.25
,,,,,,,,,SF/PF,Danilo Gallinari (11932215),Danilo Gallinari,11932215,SF/PF/F/UTIL,7100,LAC@DEN 01/10/2019 09:00PM ET,LAC,33.63
,,,,,,,,,C,Steven Adams (11932219),Steven Adams,11932219,C/UTIL,7000,OKC@SA 01/10/2019 09:30PM ET,OKC,35.03
,,,,,,,,,PG/SG,Lou Williams (11932221),Lou Williams,11932221,PG/SG/G/UTIL,6900,LAC@DEN 01/10/2019 09:00PM ET,LAC,30.34
,,,,,,,,,C,Hassan Whiteside (11932225),Hassan Whiteside,11932225,C/UTIL,6800,BOS@MIA 01/10/2019 07:00PM ET,MIA,36.03
,,,,,,,,,SG/SF,Buddy Hield (11932227),Buddy Hield,11932227,SG/SF/F/G/UTIL,6700,DET@SAC 01/10/2019 10:00PM ET,SAC,32.27
,,,,,,,,,C,Willie Cauley-Stein (11932232),Willie Cauley-Stein,11932232,C/UTIL,6600,DET@SAC 01/10/2019 10:00PM ET,SAC,31.99
,,,,,,,,,PF/C,Montrezl Harrell (11932234),Montrezl Harrell,11932234,PF/C/F/UTIL,6500,LAC@DEN 01/10/2019 09:00PM ET,LAC,31.04
,,,,,,,,,PF/C,Paul Millsap (11932238),Paul Millsap,11932238,PF/C/F/UTIL,6300,LAC@DEN 01/10/2019 09:00PM ET,DEN,29.12
,,,,,,,,,SG/SF,Bogdan Bogdanovic (11932242),Bogdan Bogdanovic,11932242,SG/SF/F/G/UTIL,6200,DET@SAC 01/10/2019 10:00PM ET,SAC,28.24
,,,,,,,,,PF/C,Al Horford (11932247),Al Horford,11932247,PF/C/F/UTIL,6100,BOS@MIA 01/10/2019 07:00PM ET,BOS,30.14
,,,,,,,,,SF/PF,Jayson Tatum (11932251),Jayson Tatum,11932251,SF/PF/F/UTIL,6000,BOS@MIA 01/10/2019 07:00PM ET,BOS,30.58
,,,,,,,,,PG/SF,Justise Winslow (11932255),Justise Winslow,11932255,PG/SF/F/G/UTIL,5900,BOS@MIA 01/10/2019 07:00PM ET,MIA,26.61
